品牌,價格,數量,每包ml,每元可買ml,日期,連結
享食尚,2765,27,45,0.44,05/30/2023,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=6854589&Area=search&mdiv=403&oid=1_3&cid=index&kw=%E6%BB%B4%E9%9B%9E%E7%B2%BE
芳茲,6800,50,50,0.37,05/30/2023,https://www.fun-s.com.tw/products/essenceofchicken-godsc-self
老協珍,4880,42,42,0.36,05/30/2023,https://lxz.com.tw/product/CCB700
農純鄉,8000,60,100,0.75,05/29/2023,https://shop.nongchunxiang.com.tw/products/chicken-roomteper-60
純煉紅棗枸杞,5800,65,60,0.67,05/29/2023,https://www.privatecuisine.tw/products/%E7%B4%85%E6%A3%97%E6%9E%B8%E6%9D%9E%E6%BB%B4%E9%9B%9E%E7%B2%BE65%E5%85%A5%E7%84%A1%E7%9B%92%EF%BC%8C5%E5%8C%85%E4%B8%80%E6%9D%9F%EF%BC%8C%E5%85%B113%E6%9D%9F
農純鄉,4280,28,100,0.65,05/29/2023,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10086436&str_category_code=4400200061&ctype=B&Area=DgrpCategory&sourcePageType=4
純煉,3000,30,60,0.6,05/29/2023,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10872669&str_category_code=4400200126&sourcePageType=4
享食尚,2765,27,45,0.44,05/29/2023,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=6854589&Area=search&mdiv=403&oid=1_3&cid=index&kw=%E6%BB%B4%E9%9B%9E%E7%B2%BE
芳茲,6800,50,50,0.37,05/29/2023,https://www.fun-s.com.tw/products/essenceofchicken-godsc-self
老協珍,4880,42,42,0.36,05/29/2023,https://lxz.com.tw/product/CCB700
